fsu_serial_no,sector,secon_stage_stratum,household_id,insurance_premium,usual_monthly_consumer_exp
85851,1,2,3,0,14067
85851,1,2,4,0,17758
85851,1,2,5,0,13700
85851,1,2,6,0,16333
85851,1,3,7,0,20300
85851,1,3,8,0,14608
85853,1,1,1,0,12683
85853,1,1,2,0,10667
85853,1,2,3,0,17833
85853,1,2,4,0,16583
85853,1,2,5,0,13933
85853,1,2,6,0,10963
85853,1,3,7,0,18400
85853,1,3,8,0,12083
85850,1,1,1,0,20867
85850,1,1,2,0,27083
85850,1,2,3,0,23733
85850,1,2,4,0,29050
85850,1,2,5,0,18333
85850,1,2,6,0,16967
85850,1,3,7,0,21108
85850,1,3,8,0,18750
85859,1,1,1,0,39158
85859,1,1,2,0,24558
85859,1,2,3,0,16933
85859,1,2,4,0,31925
85859,1,2,5,0,22675
85859,1,2,6,0,22817
85859,1,3,7,0,29250
85859,1,3,8,0,22767
85854,1,1,1,0,23550
85854,1,1,2,0,12750
85854,1,2,3,0,16883
85854,1,2,4,0,23000
85854,1,2,5,0,20383
85854,1,2,6,0,12150
85854,1,3,7,0,20175
85854,1,3,8,0,8225
85885,1,1,1,0,14817
85885,1,1,2,0,11300
85885,1,2,3,0,17392
85885,1,2,4,0,17950
85885,1,2,5,0,13942
85885,1,2,6,0,16350
85885,1,3,7,0,14150
85885,1,3,8,0,16633
85888,1,1,1,0,19333
85888,1,1,2,0,23975
85888,1,2,3,0,28717
85888,1,2,4,0,30000
85888,1,2,5,0,29550
85888,1,2,6,0,15100
85888,1,3,7,0,35992
85888,1,3,8,0,19400
85887,1,1,1,0,23383
85887,1,1,2,0,20658
85887,1,2,3,0,30233
85887,1,2,4,0,22233
85887,1,2,5,0,21983
85887,1,2,6,0,16817
85887,1,3,7,0,13817
85887,1,3,8,0,19375
85886,1,1,1,0,27733
85886,1,1,2,0,12567
85886,1,2,3,0,18967
85886,1,2,4,0,34583
85886,1,2,5,0,12767
85886,1,2,6,0,20200
85886,1,3,7,0,31083
85886,1,3,8,0,19383
85882,1,1,1,0,18017
85882,1,1,2,0,15317
85882,1,2,3,0,9517
85882,1,2,4,0,15308
85882,1,2,5,0,16675
85882,1,2,6,0,8125
85882,1,3,7,0,16800
85882,1,3,8,0,19617
85881,1,1,1,0,12717
85881,1,1,2,0,11000
85881,1,2,3,0,26800
85881,1,2,4,0,15967
85881,1,2,5,0,8467
85881,1,2,6,0,21917
85881,1,3,7,0,14608
85881,1,3,8,0,7450
85883,1,1,1,0,18117
85883,1,1,2,0,16167
85883,1,2,3,0,23000
85883,1,2,4,0,29900
85883,1,2,5,0,14567
85883,1,2,6,0,10542
85883,1,3,7,0,24433
85883,1,3,8,0,21383
85880,1,1,1,0,18133
85880,1,1,2,0,16858
85880,1,2,3,0,20792
85880,1,2,4,0,19717
85880,1,2,5,0,13833
85880,1,2,6,0,17183
85880,1,3,7,0,18950
85880,1,3,8,0,15517
85889,1,1,1,0,12667
85889,1,1,2,0,12083
85889,1,2,3,0,16042
85889,1,2,4,0,25500
85889,1,2,5,0,20517
85889,1,2,6,0,14417
85889,1,3,7,0,22050
85889,1,3,8,0,33267
85884,1,1,1,0,15458
85884,1,1,2,0,17750
85884,1,2,3,0,20167
85884,1,2,4,0,20400
85884,1,2,5,0,19983
85884,1,2,6,0,17417
85884,1,3,7,0,24783
85884,1,3,8,0,12142
85875,1,1,1,0,22433
85875,1,1,2,0,12550
85875,1,2,3,0,24967
85875,1,2,4,0,12883
85875,1,2,5,0,20200
85875,1,2,6,0,15733
85875,1,3,7,0,12450
85875,1,3,8,0,14917
85878,1,1,1,0,23183
85878,1,1,2,0,12125
85878,1,2,3,0,13783
85878,1,2,4,0,16183
85878,1,2,5,0,9550
85878,1,2,6,0,14842
85878,1,3,7,0,18167
85878,1,3,8,0,17017
85877,1,1,1,0,24033
85877,1,1,2,0,12583
85877,1,2,3,0,15833
85877,1,2,4,0,22033
85877,1,2,5,0,10058
85877,1,2,6,0,11350
85877,1,3,7,0,14017
85877,1,3,8,0,19433
85876,1,1,1,0,20667
85876,1,1,2,0,18467
85876,1,2,3,0,37817
85876,1,2,4,0,13733
